epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.729,0.97763,1.64525,1.43987,1.3624,0.66787,0.662,0.71418,0.46245,0.65375,0.648,0.63067,0.38659,1.39295,2.34217,4.02696,3.57027,0.000661333,0.000661333,0.000661333
2,51.2024,1.1824,1.55933,1.19426,1.46227,0.30684,0.602,0.41944,0.23339,0.29642,0.572,0.37691,0.09343,1.37815,4.18744,13.6029,2.48123,0.0013041,0.0013041,0.0013041
3,76.1708,1.15864,1.61007,1.00226,1.45145,0.52567,0.64,0.46164,0.16592,0,0,0,0,2.70545,13.8787,7.6175,8.76626,0.00192286,0.00192286,0.00192286
4,101.082,1.05993,1.5423,0.97155,1.37424,0.87115,0.81,0.87002,0.67583,0.92422,0.68,0.68623,0.44092,1.11172,2.26187,1.33858,2.28402,0.001892,0.001892,0.001892
5,126.027,0.8907,1.56813,0.79076,1.26226,0.95153,0.972,0.98893,0.75216,0.95922,0.94093,0.96726,0.46915,0.9787,1.89756,0.77383,1.65287,0.001856,0.001856,0.001856
6,151.14,0.82934,1.37807,0.74341,1.23346,0.9928,0.97,0.99373,0.84802,0.9928,0.97,0.99373,0.66754,0.7671,1.06502,0.54054,1.31074,0.00182,0.00182,0.00182
7,176.535,0.73056,1.22657,0.65653,1.15829,0.93849,0.866,0.92982,0.84827,0.93632,0.864,0.92366,0.63524,0.48475,1.28621,0.68697,1.03187,0.001784,0.001784,0.001784
8,201.871,0.62318,1.03474,0.56392,1.09291,0.9872,0.92527,0.97478,0.86783,0.99781,0.91096,0.95431,0.71913,0.53272,1.03528,0.45684,1.01483,0.001748,0.001748,0.001748
9,227.55,0.68569,1.17607,0.62531,1.10631,0.9932,0.998,0.995,0.93143,0.9932,0.998,0.995,0.75226,0.4256,0.80986,0.4097,0.89502,0.001712,0.001712,0.001712
10,253.077,0.70419,1.04439,0.5884,1.11337,0.98893,0.998,0.9949,0.83606,0.98893,0.998,0.9949,0.69767,0.74367,0.8863,0.53465,1.25456,0.001676,0.001676,0.001676
11,278.835,0.72909,1.016,0.60305,1.13128,0.99974,1,0.995,0.94657,0.99974,1,0.995,0.77746,0.39873,0.71897,0.33018,0.8919,0.00164,0.00164,0.00164
12,304.696,0.67454,1.13663,0.54641,1.10785,0.99533,0.8518,0.93224,0.79233,0.95066,0.8,0.8376,0.58391,0.70854,1.78993,0.68712,1.27638,0.001604,0.001604,0.001604
13,330.193,0.6544,1.1004,0.54595,1.0811,0.9959,0.994,0.99498,0.93861,0.99797,0.98371,0.98733,0.68154,0.43932,0.98666,0.35398,0.9124,0.001568,0.001568,0.001568
14,355.763,0.60926,1.03349,0.51427,1.07066,0.93349,0.912,0.93883,0.83216,0.91043,0.838,0.85032,0.59526,0.68461,1.17148,0.51464,1.32418,0.001532,0.001532,0.001532
15,381.507,0.6219,1.00432,0.54953,1.07633,0.99962,1,0.995,0.95705,0.99962,1,0.995,0.82115,0.29269,0.62191,0.30061,0.79504,0.001496,0.001496,0.001496
16,407.099,0.52257,0.92529,0.45561,1.01767,0.99983,1,0.995,0.98412,0.99983,1,0.995,0.8299,0.24774,0.65156,0.23816,0.75284,0.00146,0.00146,0.00146
17,432.777,0.48437,0.82379,0.41566,0.98507,0.99984,1,0.995,0.97898,0.99984,1,0.995,0.80118,0.26243,0.69869,0.23658,0.76129,0.001424,0.001424,0.001424
18,458.248,0.49832,0.81604,0.43725,0.99342,0.998,0.99997,0.995,0.98527,0.998,0.99997,0.995,0.83575,0.23452,0.57051,0.22989,0.73996,0.001388,0.001388,0.001388
19,483.889,0.51261,0.79288,0.42712,1.02173,0.99625,1,0.995,0.9504,0.99625,1,0.995,0.81842,0.33604,0.65075,0.28,0.82042,0.001352,0.001352,0.001352
20,509.481,0.55158,0.83075,0.46831,1.0242,0.99976,1,0.995,0.96744,0.99976,1,0.995,0.7679,0.32164,0.68936,0.28741,0.81145,0.001316,0.001316,0.001316
21,534.999,0.49651,0.79473,0.42675,0.98705,0.99874,0.998,0.995,0.9876,0.99874,0.998,0.995,0.81845,0.22495,0.61528,0.22797,0.74006,0.00128,0.00128,0.00128
22,560.919,0.48298,0.76023,0.4131,1.00274,0.99926,1,0.995,0.97841,0.99926,1,0.995,0.80872,0.2402,0.59196,0.22888,0.74959,0.001244,0.001244,0.001244
23,586.446,0.5172,0.80983,0.43412,1.00608,0.9996,1,0.995,0.98939,0.9996,1,0.995,0.83665,0.21566,0.57237,0.20037,0.72841,0.001208,0.001208,0.001208
24,612.086,0.45186,0.83025,0.38979,0.98906,0.98774,0.962,0.99005,0.96197,0.97265,0.92473,0.9506,0.72961,0.303,1.07372,0.30392,0.81375,0.001172,0.001172,0.001172
25,637.68,0.4839,0.81296,0.40163,1.00542,0.99988,1,0.995,0.98908,0.99988,1,0.995,0.84799,0.24767,0.54288,0.19731,0.73514,0.001136,0.001136,0.001136
26,663.434,0.42435,0.74171,0.35704,0.96914,0.99961,1,0.995,0.95635,0.99961,1,0.995,0.85441,0.26425,0.50841,0.22594,0.77947,0.0011,0.0011,0.0011
27,689.159,0.50353,0.80404,0.39198,0.99775,0.99981,1,0.995,0.98707,0.99981,1,0.995,0.83382,0.25285,0.60515,0.21906,0.74438,0.001064,0.001064,0.001064
28,714.705,0.47512,0.75528,0.35989,0.98848,0.99989,1,0.995,0.98968,0.99989,1,0.995,0.863,0.24264,0.50792,0.19717,0.73369,0.001028,0.001028,0.001028
29,740.625,0.44145,0.67747,0.35272,0.97046,0.99994,0.994,0.995,0.97842,0.99994,0.994,0.995,0.849,0.25588,0.58743,0.20303,0.75574,0.000992,0.000992,0.000992
30,766.254,0.54236,0.71039,0.40026,1.00983,0.99654,0.998,0.99498,0.98493,0.99654,0.998,0.99498,0.8627,0.27134,0.5133,0.22439,0.75011,0.000956,0.000956,0.000956
31,791.719,0.48287,0.676,0.38858,0.98739,0.99988,1,0.995,0.98468,0.99988,1,0.995,0.8727,0.24553,0.47438,0.18899,0.73587,0.00092,0.00092,0.00092
32,817.642,0.40759,0.67342,0.32447,0.9569,0.99987,1,0.995,0.97544,0.99987,1,0.995,0.8703,0.27119,0.46333,0.20742,0.75296,0.000884,0.000884,0.000884
33,843.09,0.39201,0.66493,0.32778,0.9499,0.99986,1,0.995,0.99442,0.99986,1,0.995,0.88202,0.17138,0.43844,0.16355,0.68845,0.000848,0.000848,0.000848
34,868.894,0.37837,0.67202,0.3116,0.93872,0.99988,1,0.995,0.99336,0.99988,1,0.995,0.88065,0.19017,0.43809,0.17611,0.70004,0.000812,0.000812,0.000812
35,894.493,0.39702,0.70084,0.32694,0.94797,0.99979,1,0.995,0.99389,0.99979,1,0.995,0.88259,0.18193,0.43882,0.17925,0.6926,0.000776,0.000776,0.000776
36,920.527,0.37239,0.66702,0.30288,0.95159,1,0.9919,0.995,0.99237,1,0.9919,0.995,0.87815,0.19395,0.49438,0.17545,0.71084,0.00074,0.00074,0.00074
37,945.922,0.36365,0.61936,0.29912,0.9479,0.99988,1,0.995,0.99493,0.99988,1,0.995,0.88409,0.17209,0.43411,0.18111,0.70198,0.000704,0.000704,0.000704
38,971.497,0.3565,0.63685,0.29507,0.95145,0.99799,0.99348,0.99498,0.99353,0.99799,0.99348,0.99498,0.881,0.19375,0.47985,0.18051,0.70899,0.000668,0.000668,0.000668
39,997.384,0.35779,0.61256,0.28953,0.95393,0.99988,1,0.995,0.99246,0.99988,1,0.995,0.8859,0.18097,0.41026,0.17366,0.71026,0.000632,0.000632,0.000632
40,1023.06,0.35008,0.60035,0.29511,0.933,0.99989,1,0.995,0.99498,0.99989,1,0.995,0.88916,0.17387,0.41361,0.16338,0.69596,0.000596,0.000596,0.000596
41,1075.13,0.22265,0.52893,0.21988,0.88272,0.99984,1,0.995,0.99309,0.99984,1,0.995,0.88316,0.1688,0.44723,0.16617,0.69493,0.00056,0.00056,0.00056
42,1100.95,0.20105,0.48792,0.19414,0.85144,1,1,0.995,0.99484,1,1,0.995,0.89936,0.15267,0.41092,0.15867,0.6799,0.000524,0.000524,0.000524
43,1126.64,0.20226,0.46016,0.18836,0.87097,0.99988,1,0.995,0.99498,0.99988,1,0.995,0.90324,0.15044,0.39955,0.14563,0.68042,0.000488,0.000488,0.000488
44,1152.35,0.18921,0.44742,0.17661,0.85562,0.99989,1,0.995,0.99476,0.99989,1,0.995,0.90997,0.15587,0.387,0.15472,0.67519,0.000452,0.000452,0.000452
45,1178.18,0.18684,0.42747,0.17541,0.85591,0.99989,1,0.995,0.99494,0.99989,1,0.995,0.90971,0.15673,0.37456,0.14987,0.68363,0.000416,0.000416,0.000416
46,1203.88,0.1843,0.41856,0.17882,0.8444,0.99989,1,0.995,0.995,0.99989,1,0.995,0.91816,0.1436,0.36378,0.1651,0.66919,0.00038,0.00038,0.00038
47,1229.65,0.17441,0.40148,0.1821,0.84149,0.99987,1,0.995,0.99496,0.99987,1,0.995,0.91786,0.13936,0.35757,0.14691,0.66529,0.000344,0.000344,0.000344
48,1255.29,0.15882,0.39604,0.16613,0.83459,0.99989,1,0.995,0.99489,0.99989,1,0.995,0.91908,0.12197,0.363,0.13195,0.65654,0.000308,0.000308,0.000308
49,1281.36,0.1477,0.39908,0.15501,0.83021,0.9999,1,0.995,0.99491,0.9999,1,0.995,0.92211,0.12235,0.34945,0.12811,0.65855,0.000272,0.000272,0.000272
50,1307.23,0.13903,0.38623,0.14375,0.83893,0.9999,1,0.995,0.99482,0.9999,1,0.995,0.92317,0.1157,0.35246,0.12242,0.65416,0.000236,0.000236,0.000236
